model,expansion_algo,batch_size,top_n_uncertain,final_expansion_size,classification_algo,accuracy,precision_weighted,recall_weighted,f1_score_weighted,,precision_micro,recall_micro,f1_score_micro
models/ft_unsupervised_N_2.bin,knn,40,5,346,knn,0.658986175,0.65946187,0.658986175,0.643637093,,0.658986175,0.658986175,0.658986175
models/ft_unsupervised_N_2.bin,knn,50,1,77,lr,0.721966206,0.722598184,0.721966206,0.722239522,,0.721966206,0.721966206,0.721966206
models/ft_unsupervised_N_2.bin,knn,50,1,77,svm,0.728110599,0.729303055,0.728110599,0.728567527,,0.728110599,0.728110599,0.728110599
models/ft_unsupervised_N_2.bin,knn,50,1,77,knn,0.594470046,0.597158714,0.594470046,0.53036188,,0.594470046,0.594470046,0.594470046
models/ft_unsupervised_N_2.bin,knn,50,2,128,lr,0.715821813,0.730561313,0.715821813,0.716886998,,0.715821813,0.715821813,0.715821813
models/ft_unsupervised_N_2.bin,knn,50,2,128,svm,0.701996928,0.735390885,0.701996928,0.70092051,,0.701996928,0.701996928,0.701996928
models/ft_unsupervised_N_2.bin,knn,50,2,128,knn,0.639016897,0.635655555,0.639016897,0.636057565,,0.639016897,0.639016897,0.639016897
models/ft_unsupervised_N_2.bin,knn,50,5,281,lr,0.74500768,0.747291049,0.74500768,0.745699416,,0.74500768,0.74500768,0.74500768
models/ft_unsupervised_N_2.bin,knn,50,5,281,svm,0.752688172,0.758642382,0.752688172,0.753735274,,0.752688172,0.752688172,0.752688172
models/ft_unsupervised_N_2.bin,knn,50,5,281,knn,0.697388633,0.701822819,0.697388633,0.685321925,,0.697388633,0.697388633,0.697388633
models/ft_unsupervised_N_2.bin,knn,100,1,51,lr,0.662058372,0.689896554,0.662058372,0.625245396,,0.662058372,0.662058372,0.662058372
models/ft_unsupervised_N_2.bin,knn,100,1,51,svm,0.566820276,0.321285226,0.566820276,0.410111141,,0.566820276,0.566820276,0.566820276
models/ft_unsupervised_N_2.bin,knn,100,1,51,knn,0.560675883,0.534027951,0.560675883,0.499475024,,0.560675883,0.560675883,0.560675883
models/ft_unsupervised_N_2.bin,knn,100,2,76,lr,0.717357911,0.718798371,0.717357911,0.710229597,,0.717357911,0.717357911,0.717357911
models/ft_unsupervised_N_2.bin,knn,100,2,76,svm,0.629800307,0.681382488,0.629800307,0.563019186,,0.629800307,0.629800307,0.629800307
models/ft_unsupervised_N_2.bin,knn,100,2,76,knn,0.577572965,0.564233175,0.577572965,0.512843007,,0.577572965,0.577572965,0.577572965
models/ft_unsupervised_N_2.bin,knn,100,5,151,lr,0.731182796,0.73086484,0.731182796,0.731008198,,0.731182796,0.731182796,0.731182796
models/ft_unsupervised_N_2.bin,knn,100,5,151,svm,0.717357911,0.715902794,0.717357911,0.713835908,,0.717357911,0.717357911,0.717357911
models/ft_unsupervised_N_2.bin,knn,100,5,151,knn,0.612903226,0.614983321,0.612903226,0.613736337,,0.612903226,0.612903226,0.612903226
models/ft_unsupervised_N_3.bin,lr,10,1,283,lr,0.740399386,0.741555418,0.740399386,0.740835661,,0.740399386,0.740399386,0.740399386
models/ft_unsupervised_N_3.bin,lr,10,1,283,svm,0.738863287,0.744609931,0.738863287,0.739955556,,0.738863287,0.738863287,0.738863287
models/ft_unsupervised_N_3.bin,lr,10,1,283,knn,0.64516129,0.641449654,0.64516129,0.634316832,,0.64516129,0.64516129,0.64516129
models/ft_unsupervised_N_3.bin,lr,10,2,540,lr,0.738863287,0.743643661,0.738863287,0.739889643,,0.738863287,0.738863287,0.738863287
models/ft_unsupervised_N_3.bin,lr,10,2,540,svm,0.701996928,0.734269672,0.701996928,0.701082445,,0.701996928,0.701996928,0.701996928
models/ft_unsupervised_N_3.bin,lr,10,2,540,knn,0.612903226,0.606083966,0.612903226,0.5971914,,0.612903226,0.612903226,0.612903226
models/ft_unsupervised_N_3.bin,lr,10,5,1311,lr,0.76344086,0.763252885,0.76344086,0.763339611,,0.76344086,0.76344086,0.76344086
models/ft_unsupervised_N_3.bin,lr,10,5,1311,svm,0.75422427,0.756122875,0.75422427,0.754824508,,0.75422427,0.75422427,0.75422427
models/ft_unsupervised_N_3.bin,lr,10,5,1311,knn,0.662058372,0.664718602,0.662058372,0.644726779,,0.662058372,0.662058372,0.662058372
models/ft_unsupervised_N_3.bin,lr,20,1,154,lr,0.720430108,0.722486408,0.720430108,0.713059313,,0.720430108,0.720430108,0.720430108
models/ft_unsupervised_N_3.bin,lr,20,1,154,svm,0.576036866,0.671072705,0.576036866,0.43566269,,0.576036866,0.576036866,0.576036866
